,index,symbol,tradedate,openPrice,highPrice,lowPrice,closePrice,volume,timestamp,pattern,CandlePattern,PatternType,range,NR7,NR4
5,5,20MICRONS,20210104,40.55,40.6,39.6,39.8,241109,2021-01-04,0,CDLHIKKAKE,Bullish,1.0,,
5,11,21STCENMGM,20210104,10.65,10.85,10.45,10.6,17191,2021-01-04,0,,,0.40000000000000036,,
5,17,3IINFOTECH,20210104,7.05,7.05,7.05,7.05,2282179,2021-01-04,0,,,0.0,,
5,23,3MINDIA,20210104,21288.0,21300.0,21065.0,21154.65,3043,2021-01-04,0,,,235.0,,
5,29,3PLAND,20210104,11.7,11.7,10.75,11.35,7865,2021-01-04,0,,,0.9499999999999993,,
5,35,5PAISA,20210104,305.9,309.8,299.3,302.8,13969,2021-01-04,0,,,10.5,,
5,41,63MOONS,20210104,82.0,83.75,81.0,81.65,25967,2021-01-04,0,,,2.75,,
5,53,A2ZINFRA,20210104,5.5,5.8,5.5,5.8,836894,2021-01-04,0,,,0.2999999999999998,,
5,65,AARON,20210104,50.45,54.4,50.45,54.1,10634,2021-01-04,0,CDLHIKKAKE,Bullish,3.9499999999999957,,
5,71,AARTIDRUGS,20210104,751.0,756.0,735.0,739.75,689719,2021-01-04,0,,,21.0,,
5,77,AARTIIND,20210104,1263.0,1285.0,1262.15,1282.05,332674,2021-01-04,0,,,22.84999999999991,,
5,83,AARTISURF,20210104,1030.0,1060.0,1015.0,1034.0,12231,2021-01-04,0,,,45.0,,
5,89,AARVEEDEN,20210104,17.8,18.8,17.5,17.85,12575,2021-01-04,0,,,1.3000000000000007,,
5,95,AARVI,20210104,48.4,51.3,48.4,49.65,41107,2021-01-04,0,,,2.8999999999999986,,
5,101,AAVAS,20210104,1748.8,1939.0,1673.6,1867.05,79683,2021-01-04,0,,,265.4000000000001,,
5,107,ABAN,20210104,28.9,29.3,28.5,28.8,45097,2021-01-04,0,,,0.8000000000000007,,
5,113,ABB,20210104,1239.1,1290.0,1235.0,1262.9,99581,2021-01-04,0,CDL3OUTSIDE,Bullish,55.0,,
5,119,ABBOTINDIA,20210104,15793.75,15862.9,15630.9,15668.05,16723,2021-01-04,0,,,232.0,,
5,125,ABCAPITAL,20210104,89.85,91.5,88.3,89.35,4772934,2021-01-04,0,,,3.200000000000003,,
5,131,ABFRL,20210104,168.5,168.65,164.1,166.8,1927284,2021-01-04,0,CDLHIKKAKE,Bullish,4.550000000000011,,
5,137,ABMINTLTD,20210104,24.9,24.9,23.7,24.85,299,2021-01-04,0,,,1.1999999999999993,,
5,155,ACC,20210104,1634.0,1649.0,1628.0,1641.4,1446174,2021-01-04,0,CDLHIKKAKE,Bearish,21.0,,
5,161,ACCELYA,20210104,954.95,972.95,954.95,964.35,3292,2021-01-04,0,CDLENGULFING,Bullish,18.0,,
5,167,ACCURACY,20210104,36.8,37.65,36.1,36.2,10939,2021-01-04,0,,,1.5499999999999972,,
5,173,ACE,20210104,143.9,146.0,138.6,142.95,700191,2021-01-04,0,,,7.400000000000006,,
5,179,ADANIENT,20210104,492.0,502.6,486.65,494.5,4936582,2021-01-04,0,CDL3OUTSIDE,Bullish,15.950000000000045,,
5,191,ADANIGREEN,20210104,1088.4,1090.0,1071.2,1082.25,360776,2021-01-04,0,CDLHIKKAKE,Bearish,18.799999999999955,,
5,197,ADANIPORTS,20210104,507.0,510.9,495.2,498.9,9998803,2021-01-04,0,,,15.699999999999989,,
5,203,ADANIPOWER,20210104,50.7,50.9,49.9,50.2,6557749,2021-01-04,0,CDLHIKKAKE,Bearish,1.0,,
5,209,ADANITRANS,20210104,437.25,445.45,435.1,441.2,454470,2021-01-04,0,,,10.349999999999966,,
5,215,ADFFOODS,20210104,647.0,665.0,628.2,648.95,130886,2021-01-04,0,,,36.799999999999955,,
5,221,ADHUNIKIND,20210104,25.85,26.0,25.0,25.55,56568,2021-01-04,0,CDLHIKKAKE,Bearish,1.0,,
5,233,ADORWELD,20210104,274.4,280.0,273.0,274.35,19384,2021-01-04,0,,,7.0,,
5,239,ADROITINFO,20210104,10.7,11.0,10.3,10.85,9948,2021-01-04,0,CDLHIKKAKE,Bearish,0.6999999999999993,,
5,245,ADSL,20210104,40.95,41.05,40.45,41.05,109547,2021-01-04,0,,,0.5999999999999943,,
5,251,ADVANIHOTR,20210104,52.5,52.5,49.6,51.15,3671,2021-01-04,0,,,2.8999999999999986,,
5,257,ADVENZYMES,20210104,335.1,338.45,328.5,332.25,282105,2021-01-04,0,,,9.949999999999989,,
5,263,AEGISCHEM,20210104,256.5,259.65,252.2,257.1,238997,2021-01-04,0,,,7.449999999999989,,
5,269,AFFLE,20210104,3885.0,4040.0,3866.0,3958.55,100727,2021-01-04,0,,,174.0,,
