,index,symbol,tradedate,openPrice,highPrice,lowPrice,closePrice,volume,timestamp,range,NR7,NR4
8,8,20MICRONS,20210211,37.45,39.95,37.45,38.95,489023,2021-02-11,2.5,1.0,1.0
8,17,21STCENMGM,20210211,12.05,12.05,12.05,12.05,4949,2021-02-11,0.0,0.0,0.0
8,26,3IINFOTECH,20210211,6.35,6.6,6.3,6.6,2730876,2021-02-11,0.2999999999999998,0.2999999999999998,0.2999999999999998
8,35,3MINDIA,20210211,21251.0,21412.1,20900.0,20963.25,6514,2021-02-11,512.0999999999985,487.9500000000007,487.9500000000007
8,44,3PLAND,20210211,9.85,9.85,8.6,9.5,5191,2021-02-11,1.25,0.40000000000000036,0.6500000000000004
8,53,5PAISA,20210211,254.9,256.15,248.2,252.05,42596,2021-02-11,7.949999999999989,7.75,7.75
8,62,63MOONS,20210211,78.35,79.65,77.55,78.1,51809,2021-02-11,2.1000000000000085,1.8000000000000114,2.950000000000003
8,71,A2ZINFRA,20210211,4.3,4.3,3.9,4.2,1007486,2021-02-11,0.3999999999999999,0.14999999999999947,0.14999999999999947
8,89,AARON,20210211,52.85,58.1,51.65,55.75,24845,2021-02-11,6.450000000000003,1.6000000000000014,1.6000000000000014
8,98,AARTIDRUGS,20210211,665.0,676.0,661.0,662.15,286490,2021-02-11,15.0,9.300000000000068,9.300000000000068
8,107,AARTIIND,20210211,1206.85,1218.25,1193.0,1209.2,231980,2021-02-11,25.25,22.90000000000009,22.90000000000009
8,116,AARTISURF,20210211,932.0,949.9,900.0,908.2,16413,2021-02-11,49.89999999999998,0.0,45.0
8,125,AARVEEDEN,20210211,20.25,21.7,18.8,20.4,14573,2021-02-11,2.8999999999999986,0.75,0.8000000000000007
8,134,AARVI,20210211,44.15,45.0,44.0,44.15,9973,2021-02-11,1.0,1.75,1.75
8,143,AAVAS,20210211,2380.0,2380.4,2262.6,2364.55,159846,2021-02-11,117.80000000000018,65.95000000000005,65.95000000000005
8,152,ABAN,20210211,29.55,29.7,29.0,29.05,101387,2021-02-11,0.6999999999999993,0.5500000000000007,1.2999999999999972
8,161,ABB,20210211,1445.0,1460.0,1405.0,1423.35,299192,2021-02-11,55.0,29.700000000000045,29.700000000000045
8,170,ABBOTINDIA,20210211,14400.5,14456.3,14311.25,14434.55,18914,2021-02-11,145.04999999999927,145.0,145.0
8,179,ABCAPITAL,20210211,89.3,90.3,88.6,89.05,1720424,2021-02-11,1.7000000000000028,2.1999999999999886,2.1999999999999886
8,188,ABFRL,20210211,166.4,172.2,166.0,167.85,2843668,2021-02-11,6.199999999999989,2.25,6.150000000000006
8,197,ABMINTLTD,20210211,40.75,40.75,40.75,40.75,1048,2021-02-11,0.0,0.0,0.0
8,224,ACC,20210211,1750.0,1790.0,1742.0,1775.95,1521543,2021-02-11,48.0,25.75,25.75
8,233,ACCELYA,20210211,919.9,925.0,900.1,905.7,6348,2021-02-11,24.899999999999977,17.950000000000045,19.450000000000045
8,242,ACCURACY,20210211,55.0,57.4,53.0,55.85,35251,2021-02-11,4.399999999999999,1.5,3.299999999999997
8,251,ACE,20210211,165.0,167.5,160.85,162.2,419664,2021-02-11,6.650000000000006,7.0,7.650000000000006
8,260,ACRYSIL,20210211,253.2,253.2,253.2,253.2,9901,2021-02-11,0.0,0.0,0.0
8,269,ADANIENT,20210211,654.0,661.0,645.35,658.6,3688016,2021-02-11,15.649999999999977,18.25,19.25
8,278,ADANIGREEN,20210211,1080.0,1090.0,1051.0,1074.6,4503787,2021-02-11,39.0,26.5,37.90000000000009
8,287,ADANIPORTS,20210211,576.85,593.7,576.3,591.85,10595917,2021-02-11,17.40000000000009,12.300000000000068,12.300000000000068
8,296,ADANIPOWER,20210211,52.15,55.2,52.1,53.8,9731753,2021-02-11,3.1000000000000014,1.0,1.1000000000000014
8,305,ADANITRANS,20210211,564.0,592.9,559.3,589.05,682583,2021-02-11,33.60000000000002,16.699999999999932,16.699999999999932
8,314,ADFFOODS,20210211,718.0,752.4,717.15,732.2,139688,2021-02-11,35.25,22.700000000000045,26.350000000000023
8,323,ADHUNIKIND,20210211,22.1,22.1,21.1,21.65,22478,2021-02-11,1.0,0.8499999999999979,0.8499999999999979
8,341,ADORWELD,20210211,304.0,308.35,296.9,299.8,59650,2021-02-11,11.450000000000045,9.100000000000023,9.100000000000023
8,350,ADROITINFO,20210211,9.05,9.4,8.6,9.0,3953,2021-02-11,0.8000000000000007,0.049999999999998934,0.3500000000000014
8,359,ADSL,20210211,39.9,39.9,38.1,38.5,74639,2021-02-11,1.7999999999999972,1.0499999999999972,1.8500000000000014
8,368,ADVANIHOTR,20210211,48.3,49.35,46.9,47.6,2535,2021-02-11,2.450000000000003,0.9500000000000028,0.9500000000000028
8,377,ADVENZYMES,20210211,369.85,384.85,367.1,372.9,527005,2021-02-11,17.75,7.850000000000023,11.149999999999977
8,386,AEGISCHEM,20210211,298.2,310.9,295.0,301.75,226042,2021-02-11,15.899999999999977,7.850000000000023,9.449999999999989
8,395,AFFLE,20210211,4857.0,5092.55,4800.15,5092.55,338342,2021-02-11,292.40000000000055,55.0,340.1500000000001
8,413,AGCNET,20210211,873.85,905.85,840.2,903.45,8052,2021-02-11,65.64999999999998,15.199999999999932,15.199999999999932
8,422,AGRITECH,20210211,37.0,37.0,35.25,35.9,4666,2021-02-11,1.75,1.5,1.6499999999999986
8,431,AGROPHOS,20210211,13.85,13.85,13.2,13.25,23037,2021-02-11,0.6500000000000004,0.34999999999999964,0.5
8,440,AHLADA,20210211,64.7,70.55,64.45,70.25,34412,2021-02-11,6.099999999999994,2.9000000000000057,3.450000000000003
8,449,AHLEAST,20210211,158.8,164.05,156.75,162.0,652,2021-02-11,7.300000000000011,5.949999999999989,5.949999999999989
8,458,AHLUCONT,20210211,309.8,317.45,308.0,309.75,24827,2021-02-11,9.449999999999989,5.699999999999989,14.349999999999966
8,467,AHLWEST,20210211,243.6,248.55,243.3,246.35,1811,2021-02-11,5.25,5.050000000000011,5.5
8,476,AIAENG,20210211,1962.6,1981.45,1942.9,1951.0,22701,2021-02-11,38.549999999999955,25.5,43.0
8,485,AIRAN,20210211,18.15,18.9,17.7,18.0,94942,2021-02-11,1.1999999999999993,0.5,0.5
8,494,AJANTPHARM,20210211,1790.75,1823.7,1780.0,1816.6,84433,2021-02-11,43.700000000000045,26.40000000000009,26.40000000000009
8,503,AJMERA,20210211,128.65,132.95,128.65,129.2,71250,2021-02-11,4.299999999999983,3.5500000000000114,3.5500000000000114
8,512,AKASH,20210211,239.8,239.8,229.05,237.05,2169,2021-02-11,10.75,8.450000000000017,8.450000000000017
8,521,AKSHARCHEM,20210211,262.5,274.0,260.55,264.2,22683,2021-02-11,13.449999999999989,4.100000000000023,4.100000000000023
8,530,AKSHOPTFBR,20210211,7.0,7.45,6.7,7.1,471652,2021-02-11,0.75,0.2999999999999998,0.2999999999999998
8,539,AKZOINDIA,20210211,2230.0,2238.95,2191.75,2202.05,55420,2021-02-11,47.19999999999982,38.69999999999982,38.69999999999982
8,548,ALANKIT,20210211,16.6,17.1,16.6,16.65,90797,2021-02-11,0.5,0.3000000000000007,0.3000000000000007
8,557,ALBERTDAVD,20210211,425.0,428.95,417.4,419.2,15719,2021-02-11,11.550000000000011,10.949999999999989,21.44999999999999
8,566,ALEMBICLTD,20210211,102.2,104.3,100.35,101.05,474706,2021-02-11,3.950000000000003,1.7999999999999972,3.450000000000003
8,575,ALICON,20210211,426.0,426.0,415.0,418.1,2513,2021-02-11,11.0,9.599999999999966,9.599999999999966
8,584,ALKALI,20210211,57.55,57.7,53.5,54.15,39309,2021-02-11,4.200000000000003,2.1499999999999986,2.3000000000000043
8,593,ALKEM,20210211,2884.0,2900.0,2852.35,2891.1,59000,2021-02-11,47.65000000000009,57.84999999999991,70.84999999999991
8,602,ALKYLAMINE,20210211,5195.6,5375.0,5156.2,5338.6,86171,2021-02-11,218.80000000000018,88.94999999999982,88.94999999999982
8,611,ALLCARGO,20210211,133.5,136.45,132.0,132.5,3214191,2021-02-11,4.449999999999989,1.6500000000000057,1.8999999999999773
8,620,ALLSEC,20210211,334.35,344.9,328.95,342.3,26307,2021-02-11,15.949999999999989,5.650000000000034,11.75
8,629,ALMONDZ,20210211,22.3,22.3,20.3,21.0,15603,2021-02-11,2.0,0.4499999999999993,0.4499999999999993
8,638,ALOKINDS,20210211,20.35,21.85,20.2,21.3,18483546,2021-02-11,1.6500000000000021,0.25,0.25
8,647,ALPA,20210211,37.35,39.5,37.35,38.75,46004,2021-02-11,2.1499999999999986,1.1999999999999957,1.1999999999999957
8,656,ALPHAGEO,20210211,208.0,219.25,205.55,212.55,20523,2021-02-11,13.699999999999989,6.650000000000006,6.650000000000006
8,674,AMARAJABAT,20210211,1000.0,1009.0,975.0,983.55,1813760,2021-02-11,34.0,18.450000000000045,28.600000000000023
8,683,AMBER,20210211,2980.0,3194.7,2945.05,3143.45,504797,2021-02-11,249.64999999999964,51.19999999999982,51.19999999999982
